"filename", "language", "PHP", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\edit.blade.php", "PHP", 74, 0, 12, 86
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\regiment_departments\show.blade.php", "PHP", 53, 0, 11, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\relation_ships\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\reports\person_profile.blade.php", "PHP", 176, 0, 25, 201
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\create.blade.php", "PHP", 84, 0, 10, 94
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\edit.blade.php", "PHP", 81, 0, 12, 93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\index.blade.php", "PHP", 40, 0, 9, 49
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\roles\show.blade.php", "PHP", 57, 0, 7, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\create.blade.php", "PHP", 252, 4, 34, 290
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\edit.blade.php", "PHP", 247, 4, 34, 285
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\users\show.blade.php", "PHP", 89, 0, 11, 100
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\usertype\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\welcome.blade.php", "PHP", 118, 0, 23, 141
"Total", "-", 8383, -197, 1375, 9561
